#run,lumi,evt
1,272,54397
1,2571,14077
1,2735,46973
1,2555,10956
1,2739,47656
1,2743,48479
1,3229,145606
1,3281,156052
1,3224,144661
1,2449,489792
1,1823,364438
1,1823,364452
1,4095,318834
1,3611,222115
1,3546,209152
1,3592,218332
1,3783,256578
1,5399,79699
1,8746,249143
1,6383,276552
1,9394,378673
1,9304,360769
1,9396,379117
1,9392,378398
1,9651,430195
1,9887,477201
1,9955,490930
1,9896,479159
1,6566,313190
1,16881,376185
1,16892,378394
1,16816,363098
1,16846,369157
1,16847,369378
1,16893,378505
1,16880,375908
1,16921,384007
1,16943,388404
1,16997,399289
1,16922,384217
1,17031,406166
1,16996,399071
1,17255,450927
1,17258,451427
1,17260,451877
1,17244,448609
1,17244,448641
1,17297,459297
1,17360,471863
1,17304,460646
1,17326,465082
1,17349,469769
1,17370,473964
1,17367,473260
1,17353,470421
1,17359,471668
1,17369,473763
1,17423,484548
1,17496,499164
1,494,98668
1,494,98773
1,396,79192
1,444,88651
1,3461,192132
1,608,121539
1,5151,30005
1,5151,30111
1,3534,206658
1,3717,243377
1,3722,244390
1,3771,254107
1,3826,265169
1,4046,309099
1,4653,430582
1,4051,310049
1,4051,310068
1,4763,452544
1,4763,452582
1,7248,449426
1,7248,449588
1,5666,133108
1,5666,133170
1,4481,396059
1,4481,396150
1,4402,380221
1,4407,381266
1,4928,485525
1,4928,485537
1,6407,281365
1,6257,251260
1,6070,213932
1,5318,63441
1,5207,41397
1,5210,41860
1,5806,161137
1,5812,162236
1,5812,162257
1,5857,171208
1,5857,171248
1,9353,370561
1,4568,413429
1,4963,492450
1,4971,494147
1,4967,493387
1,6197,239372
1,5095,18836
1,5152,30259
1,5156,31005
1,5494,98739
1,7380,475981
1,8374,174771
1,8488,197468
1,7592,18343
1,7796,59049
1,7916,83090
1,8270,153819
1,8314,162734
1,8314,162765
1,9051,310109
1,9823,464420
1,9156,331159
1,8894,278792
1,10881,176075
1,10881,176096
1,9408,381492
1,9484,396707
1,9618,423560
1,11868,373450
1,9480,395997
1,9732,446201
1,10212,42345
1,10263,52467
1,10164,32654
1,10179,35786
1,12196,439073
1,12445,488860
1,13693,238552
1,13721,244148
1,13737,247358
1,13810,261998
1,13860,271908
1,14110,321829
1,14123,324407
1,5466,93104
1,5466,93180
1,5629,125782
1,5723,144597
1,5647,129358
1,5726,145111
1,5728,145545
1,5955,190858
1,5955,190930
1,5964,192692
1,5964,192781
1,6288,257544
1,6185,236929
1,6191,238184
1,6203,240421
1,6199,239685
1,6200,239827
1,6343,268512
1,10102,20322
1,10117,23250
1,10117,23391
1,10154,30685
1,10288,57538
1,10115,22923
1,10440,87808
1,10302,60375
1,10244,48781
1,10345,68849
1,10262,52327
1,10393,78413
1,10485,96835
1,10428,85525
1,10750,149924
1,10439,87649
1,10476,95122
1,10479,95710
1,10160,31915
1,10183,36524
1,10183,36583
1,10387,77223
1,10347,69293
1,10366,73009
1,10465,92826
1,10646,129166
1,10506,101060
1,10528,105470
1,10528,105561
1,10604,120757
1,10604,120766
1,10629,125651
1,10219,43761
1,10967,193276
1,10276,55015
1,10340,67955
1,10304,60733
1,10322,64262
1,10300,59873
1,10447,89361
1,10429,85744
1,10462,92275
1,10751,150154
1,10159,31744
1,10445,88927
1,10697,139290
1,10906,181158
1,10992,198269
1,11029,205790
1,11381,276066
1,11311,262146
1,11272,254270
1,11251,250132
1,11279,255759
1,11275,254809
1,11284,256651
1,11403,280471
1,11421,284132
1,11818,363467
1,3105,120819
1,4880,475862
1,4883,476428
1,16811,362174
1,9393,378444
1,9403,380427
1,9644,428623
1,9737,447226
1,9889,477606
1,9969,493688
1,9979,495621
1,17131,426130
1,11791,358187
1,11909,381778
1,11947,389379
1,11986,397166
1,12006,401165
1,12001,400103
1,12051,410022
