#run,lumi,evt
1,3281,156052
1,3224,144661
1,3546,209152
1,9304,360769
1,9651,430195
1,9887,477201
1,16893,378505
1,16880,375908
1,16922,384217
1,17258,451427
1,17244,448641
1,17331,466113
1,17326,465082
1,17370,473964
1,17367,473260
1,17406,481066
1,252,50385
1,3461,192132
1,5151,30111
1,4046,309099
1,4051,310068
1,5666,133170
1,4402,380221
1,4407,381266
1,4928,485537
1,5318,63441
1,5857,171248
1,5099,19771
1,5494,98739
1,7592,18343
1,8224,144786
1,8314,162765
1,9823,464420
1,8894,278792
1,10881,176075
1,9490,397876
1,10263,52467
1,10164,32654
1,12445,488860
1,12654,30734
1,13721,244148
1,13737,247358
1,13810,261998
1,13860,271908
1,14123,324407
1,5647,129358
1,10288,57538
1,10244,48781
1,10262,52327
1,10485,96835
1,10476,95122
1,10160,31915
1,10347,69293
1,10528,105470
1,10528,105561
1,10967,193276
1,10322,64262
1,10447,89361
1,10429,85744
1,10314,62719
1,11029,205790
1,11381,276066
1,11311,262146
1,11251,250132
1,11284,256651
1,3105,120819
1,17131,426130
1,11791,358187
1,11986,397166
1,12801,60122
1,12827,65251
1,12866,73124
1,12914,82629
1,12892,78368
1,12894,78790
1,13406,181177
1,13439,187702
1,13439,187791
1,13569,213677
1,13888,277547
1,13923,284467
1,14131,326109
1,16783,356543
1,17479,495657
1,17491,498098
1,5532,106361
1,5831,166158
1,9374,374637
1,9435,386983
1,9700,439805
1,9924,484731
1,9924,484773
1,12564,12720
1,12740,47917
1,13010,101887
1,12209,441793
1,16805,360857
1,17140,427841
1,17032,406391
1,17051,410099
1,17121,424149
1,17200,439886
1,176,35152
1,181,36144
1,3180,135842
1,3199,139791
1,4160,331905
1,2461,492049
1,2548,9472
1,2565,12879
1,2572,14375
1,2749,49660
1,3208,141548
1,3138,127434
1,3712,242213
1,4131,326036
1,4131,326084
1,13944,288766
1,14240,347925
1,16748,349459
1,16748,349474
1,16738,347466
1,16738,347524
1,15135,26824
1,16001,200010
1,16195,238998
1,12803,60555
1,11683,336594
1,11865,372805
1,11884,376712
1,11890,377855
1,11966,393106
1,11046,209041
1,11231,246045
1,11387,277352
1,11582,316286
1,11963,392488
1,11716,343022
1,12052,410345
1,12181,436014
