#run,lumi,evt
1,266,53115
1,3222,144284
1,2532,6358
1,2735,46870
1,2640,27806
1,2747,49253
1,2747,49307
1,2748,49432
1,2637,27283
1,2635,26877
1,2635,26950
1,3458,191434
1,2738,47442
1,2738,47494
1,2739,47794
1,2806,61108
1,3230,145933
1,3209,141793
1,3228,145417
1,3281,156091
1,3281,156143
1,3281,156155
1,3224,144701
1,2104,420631
1,2104,420789
1,2320,463873
1,2449,489601
1,1757,351396
1,1823,364446
1,2216,443066
1,3611,222032
1,3611,222084
1,3782,256287
1,3551,210109
1,3546,209089
1,3546,209162
1,4112,322392
1,3565,212954
1,3592,218312
1,3584,216631
1,5274,54655
1,5399,79658
1,8042,108243
1,4758,451416
1,4778,455465
1,4778,455547
1,5514,102667
1,9394,378651
1,9436,387077
1,9436,387128
1,9436,387137
1,9849,469753
1,9392,378245
1,9392,378328
1,9392,378395
1,9660,431859
1,9660,431894
1,9434,386613
1,9642,428306
1,9860,471895
1,9860,471968
1,9890,477823
1,9685,436831
1,9905,480842
1,9887,477240
1,9887,477390
1,6719,343696
1,6719,343781
1,16386,277165
1,16438,287507
1,16439,287617
1,16439,287653
1,16492,298309
1,16881,376169
1,16881,376171
1,16514,302643
1,16950,389933
1,16802,360344
1,16804,360601
1,16804,360718
1,16901,380001
1,16901,380044
1,16901,380173
1,16980,395827
1,16816,363089
1,16863,372446
1,16863,372520
1,16895,378915
1,16840,367945
1,16846,369074
1,16846,369091
1,16846,369122
1,16932,386384
1,16932,386396
1,16949,389628
1,16869,373622
1,16869,373684
1,16943,388436
1,16997,399349
1,16904,380631
1,16916,383178
1,16922,384287
1,16991,398172
1,17008,401516
1,17008,401574
1,17040,407909
1,17040,407982
1,17116,423035
1,17116,423162
1,17130,425914
1,17147,429223
1,17163,432488
1,17209,441702
1,17220,443903
1,17220,443924
1,17220,443971
1,17199,439789
1,17420,483920
1,17420,483925
1,17425,484974
1,17258,451584
1,17260,451834
1,17260,451942
1,17265,452801
1,17246,449008
1,17308,461487
1,17308,461588
1,17331,466084
1,17273,454481
1,17273,454496
1,17304,460610
1,17326,465069
1,17370,473838
1,17370,473946
1,17306,461010
