#run,lumi,evt
1,266,53115
1,2571,14181
1,2747,49253
1,2747,49307
1,2738,47494
1,2739,47794
1,3209,141793
1,3228,145541
1,3281,156091
1,3281,156143
1,2104,420631
1,2104,420789
1,1823,364446
1,3562,212333
1,3611,222032
1,3617,223241
1,5514,102667
1,9394,378651
1,9392,378245
1,9905,480842
1,9887,477390
1,16386,277165
1,16492,298309
1,16881,376171
1,16802,360344
1,16901,380001
1,16901,380044
1,16901,380173
1,16863,372446
1,16932,386384
1,16932,386396
1,16869,373684
1,16921,384126
1,17008,401516
1,17116,423035
1,17130,425914
1,17163,432488
1,17199,439789
1,17308,461487
1,17308,461588
1,17370,473982
1,17306,461102
1,17315,462973
1,17316,463191
1,17354,470753
1,17354,470799
1,17362,472381
1,17364,472788
1,17395,478988
1,17496,499132
1,261,52165
1,391,78179
1,280,55870
1,280,55960
1,376,75028
1,376,75187
1,398,79509
1,3760,251859
1,3717,243248
1,3754,250678
1,4126,325073
1,3804,260626
1,3804,260661
1,4653,430472
1,4221,344189
1,4041,308116
1,5602,120365
1,5666,133173
1,4288,357541
1,4402,380228
1,4402,380301
1,4900,479848
1,6135,226957
1,6135,226985
1,6407,281300
1,6076,215170
1,5210,41922
1,5300,59967
1,5380,75867
1,5806,161022
1,5522,104264
1,5545,108938
1,5823,164532
1,5938,187541
1,5857,171219
1,9743,448521
1,9743,448519
1,4569,413630
1,4959,491650
1,4961,492122
1,4961,492141
1,4966,493043
1,4967,493273
1,4967,493383
1,5100,19826
1,5103,20598
1,5494,98727
1,7794,58735
1,7549,9641
1,7585,16915
1,9051,310040
1,9137,327271
1,9156,331141
1,9026,305003
1,9026,305186
1,10231,46108
1,10235,46885
1,10709,141610
1,9363,372514
1,9851,470054
1,9934,486660
1,9844,468662
1,9844,468701
1,9139,327678
1,9506,401105
1,9519,403743
1,9514,402719
1,9612,422309
1,9974,494684
1,12732,46358
1,13459,191644
1,13600,219957
1,13693,238508
1,13839,267640
1,13860,271926
1,14050,309802
1,14050,309904
1,14054,310667
1,5323,64494
1,5415,82937
1,5508,101585
1,5664,132779
1,5717,143298
1,5723,144584
1,5959,191687
1,6220,243815
1,6289,257623
1,6328,265432
1,6351,270179
1,10082,16253
1,10082,16296
1,10190,37804
1,10154,30625
1,10705,140887
1,10262,52348
1,10450,89826
1,10156,31156
1,10161,32012
1,10459,91629
1,10724,144722
1,10724,144747
1,10323,64546
1,10363,72407
1,10363,72586
1,10347,69286
1,10702,140370
1,10753,150439
1,10753,150555
1,10489,97614
1,10489,97646
1,10570,113846
1,10282,56375
1,10259,51685
1,10411,82180
1,10276,55148
1,10340,67911
1,10335,66932
1,10447,89398
1,10384,76735
1,10437,87237
1,10462,92245
1,12280,455978
1,10159,31749
1,10265,52866
1,10292,58268
1,10606,121104
1,10733,146406
1,10720,143818
1,10743,148432
1,10749,149618
1,10749,149669
1,10746,149054
1,11102,220226
1,11122,224243
1,11034,206627
1,11003,200537
1,11137,227238
1,11137,227329
1,11234,246710
1,11268,253447
1,11289,257766
1,11292,258360
1,11354,270643
1,11482,296343
1,11345,268842
1,11403,280536
1,11407,281292
1,11421,284107
1,12148,429416
1,11818,363524
1,11818,363581
1,2755,51000
1,2838,67408
1,2911,82092
1,4241,348042
1,17000,399962
1,17215,442943
1,9807,461283
1,9643,428409
1,9647,429350
1,9938,487559
1,16838,367490
1,17411,482085
1,11423,284481
1,11558,311406
1,11512,302331
1,11845,368895
1,11765,352862
1,11933,386595
1,11939,387723
1,11939,387796
1,11986,397089
1,12067,413350
1,12110,421950
1,12103,420453
1,12103,420502
1,12347,469277
1,12798,59524
1,12820,63857
1,12800,59882
1,12811,62077
1,12848,69452
1,12846,69065
1,12846,69180
1,12830,65965
1,12914,82634
1,12924,84673
1,12868,73546
1,12880,75945
1,12877,75297
1,12887,77277
1,12910,81836
1,12996,99151
1,13397,179396
1,13569,213701
1,13482,196319
1,13767,253339
1,13664,232765
1,13679,235623
1,13940,287972
1,13814,262690
1,13845,268851
1,13869,273728
1,13878,275565
1,13923,284422
1,14113,322511
1,16676,335004
1,16695,338893
1,16783,356432
1,16766,353109
1,17470,493876
1,17470,493902
1,17481,496068
1,17484,496744
