#run,lumi,evt
1,266,53150
1,272,54215
1,2571,14171
1,2747,49357
1,2555,10831
1,3456,191020
1,3458,191423
1,3458,191534
1,3168,133498
1,3168,133592
1,3230,145881
1,3209,141607
1,3215,142808
1,3281,156025
1,3499,199674
1,3224,144699
1,3455,190811
1,2256,451001
1,1221,244047
1,1221,244055
1,2216,443042
1,3778,255507
1,3778,255588
1,3551,210173
1,3546,209078
1,3783,256565
1,4145,328918
1,7761,52124
1,8042,108232
1,6383,276547
1,5514,102661
1,9380,375810
1,9394,378725
1,9304,360771
1,9382,376386
1,9646,429033
1,9398,379537
1,9698,439491
1,9434,386633
1,9642,428227
1,9642,428253
1,9890,477936
1,9651,430200
1,9778,455529
1,9895,478943
1,9990,497977
1,9896,479069
1,6719,343649
1,16386,277021
1,16432,286278
1,16438,287568
1,16439,287632
1,16492,298385
1,16824,364750
1,16892,378299
1,16514,302636
1,16514,302754
1,16863,372441
1,16896,379109
1,16896,379128
1,16840,367806
1,16840,367956
1,16932,386324
1,16847,369242
1,16893,378457
1,16949,389641
1,16949,389796
1,17073,414456
1,17073,414485
1,16880,375976
1,16972,394348
1,16972,394349
1,16908,381517
1,17005,400972
1,17017,403283
1,17116,423098
1,17116,423154
1,17130,425882
1,17147,429325
1,17237,447250
1,17237,447276
1,17258,451519
1,17260,451970
1,17265,452960
1,17300,459826
1,17326,465179
1,17326,465191
1,17370,473994
1,17309,461615
1,17329,465774
1,17354,470765
1,17319,463761
1,17362,472294
1,17339,467780
1,17356,471061
1,17388,477501
1,17332,466275
1,17332,466337
1,17361,472105
1,17361,472151
1,17369,473775
1,17391,478090
1,17395,478954
1,17423,484500
1,17474,494674
1,493,98527
1,285,56973
1,391,78072
1,395,78851
1,395,78969
1,388,77554
1,440,87978
1,436,87074
1,3332,166287
1,397,79249
1,455,90817
1,455,90985
1,459,91634
1,459,91734
1,3263,152528
1,425,84852
1,425,84943
1,433,86466
1,450,89968
1,451,90167
1,608,121452
1,3721,244090
1,3482,196386
1,4049,309744
1,4049,309742
1,3664,232686
1,3726,245053
1,3722,244395
1,3802,260380
1,4304,360644
1,4651,430110
1,3804,260656
1,3898,279535
1,3898,279581
1,4240,347935
1,4240,347951
1,4046,309052
1,4051,310182
1,4699,439648
1,4699,439671
1,4709,441602
1,4709,441672
1,4763,452551
1,4763,452569
1,7248,449575
1,4402,380236
1,4407,381213
1,4930,485960
1,4930,485994
1,4896,479135
1,4900,479930
1,5023,4457
1,5318,63484
1,5621,124021
1,5806,161116
1,5806,161191
1,5522,104303
1,5519,103634
1,5857,171249
1,5857,171289
1,4534,406671
1,4961,492189
1,4965,492860
1,4963,492480
1,4967,493228
1,4967,493275
1,4967,493319
1,4982,496292
1,4997,499270
1,4998,499576
1,4999,499669
1,6169,233662
1,5186,37083
1,5092,18383
1,5096,19026
1,5097,19331
1,5097,19375
1,5116,23120
1,5157,31375
1,5157,31387
1,5657,131221
1,7380,475819
1,7458,491478
1,7912,82217
1,7539,7736
1,8815,262812
1,7796,59071
1,7801,60115
1,8333,166418
1,8230,145966
1,8924,284738
1,8270,153801
1,8271,154179
1,8271,154197
1,8314,162614
1,8711,242174
1,8919,283630
1,9286,357068
1,9051,310005
1,9051,310191
1,9824,464743
1,9820,463834
1,9820,463931
1,9026,305103
1,8900,279821
1,8900,279865
1,8900,279969
1,10236,47091
1,10331,66108
1,10574,114693
1,9361,372025
1,9362,372312
1,9388,377520
1,9503,400554
1,9482,396280
1,9684,436610
1,9684,436619
1,9613,422404
1,9634,426683
1,9626,425053
1,11834,366647
1,11834,366755
1,11834,366765
1,9082,316271
1,9480,395896
1,9152,330232
1,9490,397957
1,9502,400323
1,9504,400749
1,9505,400863
