#run,lumi,evt
1,266,53150
1,272,54215
1,2571,14171
1,2555,10831
1,3230,145881
1,3455,190811
1,3778,255507
1,3783,256565
1,6383,276547
1,9304,360771
1,9434,386633
1,9642,428227
1,9642,428253
1,9651,430200
1,9778,455529
1,9895,478912
1,6719,343649
1,16386,277021
1,16492,298385
1,16514,302636
1,16840,367806
1,16840,367956
1,16847,369242
1,16893,378457
1,17116,423098
1,17116,423154
1,17237,447250
1,17237,447276
1,17258,451519
1,17308,461551
1,17329,465774
1,17319,463761
1,17391,478090
1,17463,492486
1,17474,494674
1,436,87074
1,3754,250744
1,4240,347951
1,4763,452569
1,4930,485994
1,4900,479828
1,5621,124021
1,5522,104303
1,4961,492189
1,4967,493228
1,4967,493319
1,4982,496292
1,4999,499669
1,5186,37083
1,7458,491544
1,7912,82217
1,7792,58380
1,7796,59071
1,8314,162614
1,8711,242174
1,8919,283630
1,9286,357068
1,9051,310005
1,9051,310191
1,9820,463834
1,8900,279865
1,10331,66108
1,9684,436610
1,9504,400749
1,9511,402185
1,10093,18526
1,12207,441375
1,12410,481954
1,13810,261882
1,13860,271859
1,14073,314537
1,5466,93039
1,5482,96277
1,5651,130063
1,5717,143384
1,5728,145505
1,6289,257767
1,10190,37811
1,10288,57556
1,10705,140940
1,10232,46316
1,10350,69974
1,10305,60950
1,10707,141264
1,10439,87790
1,10598,119505
1,10071,14118
1,10432,86240
1,10432,86278
1,10323,64509
1,10595,118848
1,10587,117318
1,10601,120035
1,10417,83247
1,10922,184360
1,10783,156444
1,10343,68433
1,10415,82878
1,10420,83860
1,10661,132135
1,10723,144410
1,10731,146002
1,10906,181154
1,10964,192674
1,10747,149269
1,10820,163816
1,10917,183377
1,11003,200595
1,11001,200107
1,11010,201827
1,11311,262063
1,11263,252507
1,11301,260176
1,11345,268853
1,11345,268954
1,12096,419076
1,3145,128931
1,4241,348018
1,17180,436000
1,9383,376540
1,9969,493761
1,9969,493764
1,16979,395655
1,11560,311816
1,11663,332422
1,11976,395153
1,11819,363732
1,11986,397053
1,12038,407563
1,12103,420553
1,12827,65205
1,12827,65250
1,12806,61194
1,12857,71309
1,12861,72080
1,12816,63136
1,12854,70756
1,12830,65837
1,12868,73420
1,12884,76626
1,12899,79672
1,13607,221236
1,13774,254655
1,16667,333325
1,16695,338899
1,16792,358355
1,16752,350373
1,4938,487407
1,4926,485197
1,5439,87629
1,9724,444779
1,9862,472362
1,9773,454549
1,9925,484872
1,13102,120224
1,12860,71907
1,13068,113539
1,12964,92779
1,13045,108872
1,13002,100258
1,13044,108728
1,13216,143166
1,12188,437421
1,12452,490254
1,16903,380436
1,16903,380475
1,16796,359113
1,16797,359316
1,16884,376711
1,17076,415019
1,17198,439457
1,17334,466640
1,17302,460220
1,17028,405489
1,17028,405494
1,17105,420904
1,17196,439025
1,17196,439032
1,17284,456745
1,17226,445067
1,17164,432641
1,17188,437484
1,17216,443182
1,248,49539
1,131,26192
1,2746,49067
1,2746,49086
1,3578,215585
1,4065,312980
1,4160,331945
1,2461,492089
1,2843,68401
1,2572,14395
1,2655,30829
1,3278,155446
1,3138,127592
1,3600,219991
1,3712,242369
1,3906,281034
1,3640,227853
1,3640,227994
1,3700,239857
1,13993,298509
1,13993,298523
1,16238,247410
1,16272,254346
1,16404,280734
1,16417,283316
1,16453,290465
1,16544,308760
1,16597,319332
1,16602,320253
1,16610,321837
1,16653,330549
1,16668,333568
1,16704,340676
1,16748,349562
1,16734,346749
1,16734,346753
1,16745,348859
1,17002,400337
1,16975,394805
1,16975,394885
1,17045,408821
1,7983,96562
1,7776,55078
1,14126,325006
1,14126,325069
1,14126,325116
1,1482,296353
1,1673,334441
1,7061,412101
1,9255,350936
