#run,lumi,evt
1,266,53132
1,2747,49378
1,2637,27317
1,2821,64007
1,3168,133424
1,3207,141340
1,3209,141795
1,3215,142892
1,3281,156105
1,3499,199644
1,1823,364534
1,4123,324485
1,3530,205954
1,4758,451595
1,4778,455519
1,9646,429159
1,9778,455449
1,9949,489613
1,6719,343655
1,16386,277120
1,16439,287760
1,16950,389879
1,16847,369277
1,17073,414454
1,16869,373658
1,16869,373704
1,16880,375864
1,16921,384043
1,16899,379747
1,16904,380622
1,16904,380708
1,17047,409257
1,17109,421778
1,17130,425922
1,17147,429314
1,17255,450976
1,17244,448742
1,17338,467492
1,17268,453504
1,17279,455683
1,17279,455711
1,17273,454577
1,17315,462847
1,17375,474877
1,17375,474956
1,17356,471194
1,17361,472189
1,17391,478070
1,462,92229
1,252,50244
1,379,75781
1,397,79384
1,444,88666
1,477,95285
1,457,91296
1,2863,72418
1,3263,152599
1,536,107007
1,536,107055
1,5151,30055
1,5322,64330
1,4049,309746
1,3727,245254
1,3760,251823
1,3800,259946
1,3897,279321
1,3804,260611
1,3826,265094
1,4653,430578
1,4022,304358
1,4347,369231
1,4699,439747
1,5208,41559
1,5938,187488
1,9743,448514
1,4568,413504
1,4970,493988
1,4995,498996
1,4998,499468
1,6169,233735
1,6192,238259
1,5186,37093
1,5117,23234
1,5120,23906
1,7369,473701
1,7458,491572
1,7800,59854
1,8374,174717
1,7585,16862
1,7585,16906
1,7596,19028
1,7916,83032
1,8321,164165
1,9026,305195
1,9133,326483
1,9361,372143
1,9488,397452
1,9526,405028
1,9619,423609
1,9751,450028
1,9751,450175
1,11868,373527
1,9525,404938
1,9609,421788
1,9719,443689
1,9719,443746
1,9841,468070
1,9935,486929
1,10002,375
1,10003,506
1,10003,534
1,10010,1955
1,10024,4657
1,10253,50592
1,10006,1090
1,10204,40786
1,12196,439072
1,13721,244115
1,13810,261983
1,13914,282672
1,14050,309994
1,14110,321956
1,14123,324410
1,5389,77714
1,5391,78006
1,5664,132637
1,5737,147303
1,5737,147375
1,5754,150789
1,5955,190875
1,6185,236896
1,6189,237618
1,6189,237646
1,6191,238033
1,6199,239606
1,6199,239747
1,6200,239974
1,6289,257607
1,10082,16275
1,10102,20237
1,10103,20443
1,10345,68833
1,10303,60498
1,10377,75393
1,10393,78513
1,10443,88408
1,10443,88423
1,10750,149852
1,10476,95070
1,10161,32015
1,10298,59558
1,10298,59598
1,10313,62534
1,10366,73171
1,10367,73252
1,10702,140345
1,10825,164951
1,10455,90948
1,10646,129050
1,10499,99662
1,10562,112348
1,10599,119687
1,10599,119796
1,10601,120163
1,10417,83207
1,10417,83231
1,10557,111334
1,10357,71259
1,10348,69564
1,10421,84164
1,10372,74233
1,10423,84486
1,10482,96276
1,10462,92314
1,10751,150118
1,10159,31759
1,10159,31769
1,10249,49731
1,10265,52959
1,10464,92664
1,10692,138311
1,10743,148565
1,10749,149727
1,10794,158720
1,10890,177914
1,11388,277571
1,11041,208191
1,11001,200097
