#run,lumi,evt
1,14654,5843630
1,24665,9835553
1,24872,9918357
1,26838,10702209
1,26856,10709381
1,33677,13429650
1,34868,13904507
1,38535,15366627
1,48005,19143410
1,48005,19143433
1,51092,20374154
1,27364,10911850
1,48362,19285523
1,13623,5432261
1,16809,6702923
1,147,58277
1,1108,441671
1,1108,441695
1,3736,1489663
1,7913,3155247
1,8168,3257005
1,8168,3257155
1,9889,3943438
1,13182,5256438
1,13184,5257338
1,11214,4471704
1,11214,4471729
1,45190,18020718
1,45569,18171929
1,21854,8714556
1,39445,15729782
1,45196,18022859
1,45196,18023030
1,45574,18173827
1,9273,3697582
1,9273,3697783
1,9743,3885298
1,11386,4540262
1,11392,4542980
1,49026,19550120
1,45570,18172001
1,951,378964
1,1006,401016
1,1239,493993
1,3393,1352919
1,4620,1842067
1,6059,2416085
1,8349,3329198
1,6673,2660810
1,7278,2902006
1,10602,4227667
1,11749,4685034
1,13411,5347765
1,17181,6851227
1,24861,9913751
1,1475,588064
1,4910,1958028
1,5868,2339926
1,11229,4477611
1,7907,3152969
1,11922,4754218
1,13011,5188297
1,13401,5343943
1,13401,5343983
1,14460,5766211
1,21512,8578257
1,14603,5823289
1,16755,6681321
1,14606,5824504
1,19496,7774374
1,19532,7788760
1,8721,3477713
1,13309,5307155
1,34372,13706436
1,35005,13959246
1,36632,14607799
1,36632,14607974
1,39520,15759694
1,15226,6071651
1,29911,11927576
1,30234,12056328
1,39275,15661736
1,749,298367
1,820,326859
1,1189,473894
1,2714,1082172
1,3108,1239284
1,3108,1239286
1,3589,1431222
1,3785,1509234
1,3191,1272224
1,4694,1871656
1,4450,1774291
1,4708,1877344
1,7069,2818750
1,7264,2896543
1,35988,14350934
1,37492,14951068
1,39214,15637320
1,36436,14529610
1,36442,14531868
1,37869,15101182
1,37621,15002104
1,37486,14948475
1,39228,15643289
1,39494,15749106
1,38641,15408847
1,38868,15499503
1,37538,14969404
1,38003,15154756
1,38198,15232322
1,38198,15232371
1,38604,15394306
1,39495,15749498
1,39539,15767278
1,39287,15666406
1,39778,15862282
1,39781,15863647
1,39912,15916032
1,39777,15862108
1,40251,16050997
1,40500,16150460
1,41379,16500924
1,41379,16501015
1,42001,16749048
1,43590,17382554
1,43590,17382638
1,43422,17315746
1,44161,17610172
1,44099,17585546
1,44099,17585775
1,43494,17344231
1,45013,17950161
1,43654,17408251
