#run,lumi,evt
1,5336,2127595
1,5336,2127774
1,5336,2127885
1,5816,2319193
1,5819,2320460
1,5819,2320494
1,5821,2321133
1,5821,2321209
1,13810,5506954
1,14654,5843315
1,14654,5843570
1,14654,5843650
1,20012,7980033
1,20012,7980163
1,25641,10224913
1,46306,18465431
1,32575,12989846
1,32575,12990009
1,32575,12990166
1,24872,9918346
1,24872,9918361
1,24872,9918430
1,24873,9918683
1,24873,9918689
1,24873,9918734
1,24873,9918888
1,25033,9982335
1,25033,9982351
1,25033,9982396
1,25036,9983502
1,25036,9983715
1,27072,10795542
1,34508,13760653
1,34508,13760762
1,34508,13760830
1,34508,13761042
1,26856,10709394
1,30123,12012171
1,33676,13429191
1,38535,15366715
1,41536,16563314
1,41536,16563449
1,48362,19285679
1,13517,5390030
1,16807,6701919
1,259,103007
1,1108,441824
1,2519,1004281
1,3736,1489448
1,3335,1329795
1,3335,1329861
1,3737,1490259
1,4456,1776728
1,4456,1776942
1,4372,1743177
1,4495,1792485
1,5045,2011567
1,5045,2011571
1,5045,2011563
1,7915,3156021
1,7915,3156366
1,8169,3257372
1,9271,3696968
1,9889,3943313
1,13182,5256407
1,13182,5256683
1,13182,5256768
1,13184,5257499
1,13477,5374161
1,11206,4468382
1,11206,4468640
1,11329,4517784
1,41124,16399180
1,41124,16399339
1,45569,18171747
1,45569,18171751
1,16724,6668805
1,16724,6669031
1,16724,6669154
1,17867,7124834
1,17867,7124901
1,18723,7465984
1,21854,8714856
1,32302,12881087
1,39439,15727003
1,39442,15728469
1,39442,15728501
1,40522,16158985
1,2914,1161912
1,2944,1174015
1,3161,1260418
1,3336,1330024
1,3336,1330128
1,3336,1330182
1,3338,1330931
1,3338,1331231
1,5464,2178639
1,9273,3697542
1,9743,3885360
1,11392,4542753
1,27478,10957530
1,31073,12390969
1,31073,12391021
1,31073,12391185
1,30695,12240166
1,30695,12240192
1,30695,12240497
1,30695,12240539
1,48081,19173300
1,49026,19550349
1,31672,12629727
1,46402,18504021
1,46402,18504030
1,47324,18871459
1,45570,18172012
1,45570,18172335
1,45572,18173118
1,47757,19044161
1,755,301142
1,956,380973
1,956,381202
1,951,379199
1,951,379223
1,951,379278
1,1006,401044
1,3759,1499026
1,3759,1499049
1,3759,1499097
1,4620,1841987
1,4897,1952426
1,5438,2168569
1,6059,2415943
1,6070,2420608
1,6411,2556205
1,6411,2556351
1,6411,2556543
1,7072,2820102
1,7278,2902159
1,10321,4115509
1,10602,4227604
