#run,lumi,evt
1,5336,2127710
1,5336,2127960
1,5816,2318918
1,5816,2318960
1,5821,2321259
1,5821,2321388
1,14654,5843332
1,14654,5843482
1,14654,5843576
1,20012,7980078
1,20012,7980200
1,43095,17185064
1,43095,17185089
1,46306,18465789
1,24665,9835703
1,32575,12989887
1,32575,12990015
1,32672,13028508
1,24872,9918224
1,34508,13760749
1,34508,13760904
1,33677,13429659
1,34868,13904218
1,34868,13904569
1,41536,16563315
1,41536,16563572
1,51092,20374257
1,51092,20374383
1,27364,10912008
1,27364,10912118
1,48358,19284004
1,48362,19285452
1,48362,19285608
1,16809,6703010
1,259,103123
1,259,103141
1,1108,441596
1,1108,441860
1,3333,1328856
1,3333,1328891
1,3737,1489898
1,3737,1490191
1,4371,1742755
1,4371,1742861
1,4371,1742963
1,4372,1743252
1,7616,3036784
1,7913,3155407
1,7913,3155447
1,7915,3156352
1,8169,3257335
1,8169,3257627
1,9271,3696815
1,9271,3697076
1,9889,3943362
1,13182,5256611
1,13182,5256685
1,13182,5256779
1,11214,4471710
1,11329,4517508
1,12617,5031421
1,41124,16399285
1,45190,18020606
1,45569,18171837
1,21854,8714547
1,21854,8714822
1,31946,12739146
1,31948,12740071
1,31949,12740498
1,39439,15727138
1,39442,15728623
1,40522,16158989
1,45574,18173772
1,45574,18173929
1,45811,18268250
1,2914,1161838
1,5464,2178648
1,5464,2178749
1,5464,2178815
1,5464,2178883
1,9273,3697681
1,9883,3940902
1,9884,3941141
1,9884,3941509
1,9887,3942445
1,11386,4540154
1,11394,4543666
1,26978,10758128
1,27478,10957445
1,31073,12391238
1,31073,12391272
1,30695,12240515
1,31672,12629867
1,46402,18503882
1,45572,18172876
1,45572,18173017
1,47326,18872558
1,47757,19044415
1,871,347201
1,871,347218
1,1007,401335
1,1471,586508
1,4777,1905039
1,4620,1842236
1,4909,1957614
1,4943,1970948
1,5438,2168257
1,5438,2168547
1,5696,2271518
1,6059,2415914
1,6059,2416111
1,6059,2416122
1,6059,2416120
1,7067,2817927
1,7067,2818192
1,10602,4227726
1,11749,4684998
1,11749,4685103
1,11749,4685172
1,14730,5873885
1,14730,5873934
1,14849,5921299
1,15496,6179338
1,15496,6179513
1,16232,6472774
1,16232,6472805
1,16232,6473003
1,16232,6473010
1,17126,6829192
1,17808,7101375
1,21892,8729944
1,18820,7504989
1,24018,9577636
1,1159,461901
1,1159,461964
1,1475,587952
1,5216,2079773
1,6667,2658370
1,6692,2668497
1,11229,4477733
1,7525,3000763
1,7525,3000760
1,7525,3000748
1,7907,3152931
1,12672,5053100
1,13383,5336706
1,13670,5451174
1,13670,5451165
1,13670,5451255
1,13339,5319058
1,13339,5319241
1,14140,5638581
1,14140,5638644
1,14831,5914212
1,14831,5914253
1,17294,6896205
1,20838,8309478
1,14846,5919994
1,15001,5981814
1,14603,5823050
1,14603,5823249
1,16165,6445923
1,16165,6446178
1,16755,6681331
1,16755,6681416
1,14708,5865000
1,15084,6015150
1,19474,7765742
1,8721,3477628
1,8702,3470211
1,8783,3502174
1,10500,4186972
1,13309,5307261
1,13767,5490014
1,30477,12153472
1,31708,12644101
1,36054,14377425
1,36625,14605024
1,36625,14605119
1,36767,14661727
1,36695,14632879
1,40067,15977773
1,15208,6064613
1,15226,6071569
1,15226,6071856
1,15279,6092739
1,24728,9860672
1,33715,13444509
1,33715,13444716
1,29911,11927628
1,30708,12245454
1,33385,13313075
1,33385,13313199
1,30972,12350904
1,36697,14633998
1,36726,14645492
1,36726,14645510
1,37748,15052761
1,37748,15053049
1,48085,19175331
1,644,256694
1,745,296874
1,745,297157
1,820,326612
1,1189,473972
1,1189,474006
1,1605,639858
1,2732,1089240
1,2732,1089317
1,2732,1089446
1,1704,679315
1,1704,679333
1,3711,1479598
1,3711,1479620
1,6144,2450048
1,2545,1014651
1,6452,2572761
1,2714,1082209
1,2729,1088091
1,2729,1088209
1,6071,2420779
1,2763,1101754
1,3785,1509402
1,3810,1519003
1,3810,1519085
1,4694,1871561
1,4450,1774283
1,5287,2108243
1,5498,2192281
1,6158,2455318
1,6158,2455542
1,5865,2338726
1,5865,2338781
1,6017,2399247
1,6241,2488716
1,6150,2452365
1,7264,2896392
1,7714,3076086
1,35565,14182483
1,35637,14211175
1,35500,14156509
