#run,lumi,evt
1,5819,2320392
1,5821,2321106
1,5821,2321308
1,43095,17184977
1,46306,18465566
1,46306,18465744
1,32575,12990106
1,24873,9918750
1,26838,10702153
1,27072,10795682
1,35079,13988585
1,26856,10709447
1,33676,13429015
1,33677,13429427
1,33677,13429519
1,38535,15366918
1,38535,15366984
1,38535,15366961
1,51092,20374146
1,48358,19283799
1,16807,6702309
1,147,58273
1,3736,1489762
1,3335,1329621
1,3335,1329900
1,3737,1490072
1,4366,1740730
1,4456,1776634
1,4495,1792183
1,7616,3036834
1,7616,3036904
1,7616,3036981
1,7915,3155979
1,8169,3257584
1,9271,3696699
1,13477,5374054
1,13477,5374262
1,11329,4517600
1,21854,8714666
1,31949,12740490
1,32302,12881196
1,32302,12881320
1,39439,15727007
1,39442,15728409
1,40522,16158974
1,40522,16159002
1,45811,18268119
1,2914,1161904
1,3161,1260491
1,3336,1330077
1,3338,1331005
1,11388,4541208
1,11388,4541261
1,11392,4542697
1,11394,4543548
1,27478,10957344
1,31672,12629856
1,45570,18171967
1,45813,18269077
1,45813,18269169
1,1007,401397
1,1007,401667
1,883,351770
1,883,351804
1,1471,586447
1,3759,1498717
1,3759,1499060
1,5988,2387569
1,4909,1957490
1,4897,1952534
1,6411,2556397
1,7067,2818066
1,7278,2902254
1,10321,4115703
1,10602,4227769
1,10602,4227840
1,14201,5663075
1,14849,5921392
1,16232,6472919
1,16232,6472957
1,17126,6829351
1,16751,6679572
1,16751,6679847
1,18060,7201913
1,4901,1954240
1,4901,1954401
1,4913,1958959
1,4913,1959106
1,4913,1959164
1,6301,2512604
1,6301,2512608
1,6692,2668617
1,7458,2973875
1,7525,3000751
1,7907,3153106
1,8679,3460845
1,14340,5718359
1,13315,5309709
1,13670,5451034
1,13670,5451199
1,13670,5451345
1,14140,5638459
1,14416,5748547
1,14831,5914179
1,14831,5914235
1,17294,6896185
1,14559,5805545
1,14559,5805772
1,15188,6056317
1,14603,5823059
1,16165,6445887
1,19474,7765569
1,19474,7765821
1,19496,7774303
1,19496,7774425
1,19532,7788728
1,19532,7788895
1,6500,2591976
1,7688,3065804
1,8702,3470118
1,8702,3470129
1,10500,4186958
1,13303,5304758
1,13309,5307245
1,13309,5307386
1,30095,12001002
1,30477,12153465
1,34372,13706417
1,35005,13959107
1,35522,14165336
1,35522,14165352
1,35928,14327125
1,35928,14327262
1,35855,14298238
1,36625,14605102
1,36625,14605182
1,36625,14605228
1,36625,14605231
1,36767,14661587
1,36702,14635674
1,38853,15493476
1,15279,6092671
1,33618,13405985
1,30234,12056551
1,30367,12109318
1,30972,12350593
1,30972,12350786
1,36697,14633772
1,37748,15052890
1,37748,15052999
1,37964,15139063
1,39275,15661716
1,47903,19102349
1,745,296899
1,879,350334
1,1605,639852
1,1605,639945
1,2732,1089387
1,1704,679199
1,6144,2450043
1,2540,1012865
1,2545,1014949
1,2545,1014981
1,2714,1082059
1,6071,2420933
1,2763,1101664
1,3589,1430982
1,3785,1509397
1,3191,1272412
1,3561,1420005
1,4694,1871894
1,5287,2108231
1,5846,2331279
1,5498,2192595
1,6347,2531057
1,6148,2451346
1,7722,3079349
1,35188,14031970
1,35637,14211146
1,35637,14211316
1,35848,14295268
1,35988,14351211
1,35988,14351273
1,36444,14533070
1,36512,14559929
1,36512,14560149
1,37492,14951009
1,35854,14297495
1,35854,14297794
1,38703,15433661
1,36047,14374708
1,36047,14374770
1,36482,14548155
1,36482,14548256
1,36324,14485023
1,36843,14691960
1,37366,14900469
1,38050,15173477
1,38314,15278521
1,37403,14915225
1,38467,15339494
1,37486,14948502
1,37645,15011993
1,39494,15749291
1,38049,15172782
1,38049,15172864
1,38641,15409187
1,37538,14969123
1,38127,15203996
1,38198,15232159
1,38870,15500288
1,40494,16147744
1,40494,16147940
1,40494,16148039
1,38999,15551788
1,39268,15659099
1,39786,15865677
1,39376,15702236
1,39500,15751681
1,39500,15751698
1,39540,15767567
1,39716,15837646
1,39802,15872014
1,39802,15872071
1,41379,16500930
1,42000,16748539
1,42000,16748646
1,43422,17315533
1,44400,17705429
1,44400,17705666
1,44099,17585602
1,44957,17927526
1,44957,17927582
1,45013,17950010
1,45013,17950056
1,43654,17408040
1,43654,17408098
1,44092,17582670
1,44205,17627764
1,44200,17625662
1,44200,17625820
1,45641,18200291
1,44202,17626557
1,48744,19437787
1,48925,19509958
1,44483,17738693
1,44492,17742339
1,45430,18116503
1,45233,18037694
1,45301,18064893
1,45301,18065015
1,46072,18372258
1,45702,18224727
1,47034,18755920
1,47034,18756109
1,45722,18232940
1,45881,18296201
1,47015,18748446
1,44015,17551980
1,44018,17553309
1,44018,17553449
1,44337,17680309
1,44398,17704657
1,44398,17704919
1,44342,17682682
1,44486,17739941
1,44621,17793975
1,44401,17706082
1,49161,19604282
1,49161,19604291
1,44455,17727325
1,48958,19523163
1,45183,18017628
1,45567,18170988
1,45561,18168430
1,46974,18732074
1,46974,18732192
1,45474,18134029
1,45540,18160075
1,45801,18264167
1,47131,18794653
1,46185,18417516
1,45976,18333886
1,49206,19622138
1,49206,19622262
1,46200,18423319
1,46795,18660751
1,47132,18794974
1,3860,1539169
1,3860,1539331
1,12396,4942921
1,12396,4943037
1,12396,4943197
1,14276,5692610
1,16590,6615693
1,13177,5254532
1,13479,5374829
1,13482,5376226
1,14028,5593856
1,17868,7125358
1,21550,8593423
1,21550,8593573
1,35794,14273775
1,32459,12943671
1,32459,12943753
1,43682,17419204
1,43682,17419330
1,1109,442205
1,2514,1002480
1,6027,2403129
1,6027,2403157
1,18041,7194101
1,18042,7194556
1,18042,7194583
1,18042,7194697
1,26975,10756745
1,38490,15348942
1,39549,15771116
1,49028,19551053
1,49029,19551522
1,49029,19551562
1,49030,19551877
1,11160,4450288
1,5578,2224371
1,3362,1340722
1,7266,2897197
1,7266,2897439
1,10447,4165893
1,8818,3516435
1,8819,3516638
1,10318,4114456
1,10326,4117427
1,10326,4117669
1,10326,4117706
1,10327,4117920
1,10327,4117976
1,10601,4227416
1,11263,4491139
1,11263,4491405
1,11302,4506760
1,11302,4506922
1,10897,4345395
1,11155,4448214
1,11623,4634824
1,11623,4634985
1,11001,4386796
1,11001,4386799
1,12113,4830240
1,13867,5529643
1,13867,5529863
1,13867,5529874
1,14369,5729920
1,4452,1775208
1,2704,1078038
1,2704,1078355
1,2760,1100431
1,7320,2918788
1,7320,2918917
1,8326,3320152
1,13007,5186682
1,8684,3462763
1,8855,3531090
1,10315,4113083
1,10315,4113406
1,10376,4137598
1,10376,4137741
1,12608,5027686
1,13006,5186152
1,13006,5186255
1,13160,5247679
1,11742,4682282
1,11993,4782509
1,11993,4782576
1,12186,4859251
1,12055,4807212
1,13861,5527266
1,14252,5683143
1,14252,5683270
1,13393,5340482
1,14236,5676989
1,17187,6853587
1,17187,6853870
1,14195,5660282
1,17178,6849940
1,18991,7572869
1,15378,6132321
1,14538,5797349
1,14830,5913611
1,14830,5913838
1,14610,5825823
1,14610,5825971
1,15373,6130235
1,17574,7008087
1,10540,4203100
1,23403,9332539
1,11989,4780648
1,13305,5305685
1,12623,5033636
1,13008,5187078
1,15052,6002376
1,13304,5305044
1,13344,5321043
1,13344,5321170
1,19499,7775734
1,14370,5730281
1,16666,6645835
1,36864,14700496
1,33112,13204234
1,33026,13169878
1,33026,13170010
1,33029,13171070
1,33029,13171352
1,33030,13171559
1,33483,13352104
1,40753,16251007
1,33808,13481731
1,33808,13481837
