#run,lumi,evt
274315,254,545309264
274161,295,512012644
274157,390,568142258
274422,2154,3567839652
275068,295,582716256
274315,299,637278920
275310,40,75087259
274999,954,1709592176
275001,232,349281166
274999,758,1383947430
274968,889,1689314796
275309,123,149780294
274968,968,1832296638
275074,356,570310022
275001,1806,2393601630
275376,1241,1975487658
275345,241,491363660
275125,496,924819618
275376,413,715562016
274442,255,454167187
275345,43,90584775
275376,1592,2445464210
275371,358,704883167
275375,537,898101576
275310,343,624260215
274442,132,243186896
275310,1031,1732199045
274338,663,1156905781
275375,1254,2153938861
273730,1708,1846040148
274968,935,1772366905
274422,1354,2317685760
274388,624,1146236896
274241,600,1008693272
273730,1906,2140121612
273402,240,221288647
274969,856,1532361859
274442,90,167298064
274422,1913,3199973749
274315,205,442821375
274388,893,1625857569
274316,78,149442388
275918,100,174539083
276242,311,585011240
275658,29,58308933
275913,64,132390942
275782,575,1048231014
276282,1065,1907682305
276242,1268,2386200141
276243,161,291144093
276242,554,1050578736
275847,265,356003108
275658,6,10874610
276283,107,206048407
276283,230,444297356
276775,1045,1816990747
276585,226,360827151
276586,743,1251448927
276582,216,387779380
276776,738,1271966304
276808,424,804602291
276454,495,775661364
276317,36,64745350
276776,610,1039628699
276543,869,1542087795
276810,157,287076496
276808,286,555515060
276363,683,1218016642
276454,194,312065021
276811,490,889299408
276776,747,1287239744
276810,153,279302877
276811,2232,3585696993
276502,19,25222518
276811,459,831298925
276581,318,468518860
276501,817,1313573162
276870,603,1023798993
277168,310,564758254
276831,2613,4645525971
277420,338,507520406
277096,819,1470454498
277168,5,4331165
276831,1827,3317043568
277070,643,1204030654
277127,645,1219618636
277420,295,420972174
276870,953,1670687527
276870,2290,4150629495
276950,1133,2070351898
277087,387,359794922
277194,1694,3018347888
277094,540,954270159
277072,284,488774933
277305,697,1168626133
278349,123,238216268
278349,581,1079175910
278406,1553,2723470721
278406,1383,2442509259
278406,1396,2463048498
278808,426,801215009
278017,493,727958582
278509,432,621150497
278406,595,962868567
278310,288,400402960
278345,307,453193088
278406,1153,2021595273
278803,73,131313912
278406,1288,2272688880
278310,477,647359628
278018,1057,1966662275
278167,1490,2721977578
279694,433,791209125
278875,570,1014854650
280188,30,50853133
280251,59,109474354
279794,540,869672863
279887,386,538783750
280188,129,232094014
279966,352,514938860
279975,501,793046441
278820,1442,2628739800
279841,690,1146740501
280191,692,1285829152
279841,112,119679725
279588,837,1444174689
279667,1028,1795804825
279766,20,36082144
279841,1801,3138960194
279766,766,1415839976
279794,289,410231997
279767,357,616661953
280191,807,1502538909
279975,130,129715869
279766,670,1245891750
279823,123,118796854
280242,171,305373081
280249,415,774647154
279024,188,243798033
279716,232,439872031
280385,854,1604026490
278969,1419,2471219409
279931,740,1227278195
280385,466,859623910
280018,1056,1817810033
279931,2226,3824959051
278975,124,211723386
279931,280,375456562
279931,356,520129921
279931,1295,2260888061
279716,721,1343191793
280385,483,892730455
281797,898,1415833702
281797,1745,2956259508
281797,1850,3119025720
281976,1742,3094230862
281976,34,71655061
281976,672,1183807352
282033,94,36856308
282037,1018,1826622832
282037,1605,2794896675
282037,1600,2785860032
282037,1511,2605776229
282092,918,1446979992
282092,1079,1733725132
282092,1277,2100585064
282092,1909,3107623737
282730,156,156379922
282735,638,1266791029
282735,109,218450683
282735,892,1695990966
282814,1451,2706436787
281693,1205,2284056157
281693,1666,3014148507
283043,13,21455359
283052,54,89322246
283270,157,162688630
283270,1054,1740969772
283283,61,124533314
283283,933,1769917749
281707,759,1187021093
283308,121,224002735
283408,1848,3194109796
283408,176,288670766
283453,379,550335583
283478,262,341574761
283478,904,1421177562
283820,633,1113336514
283820,1065,1881487315
283830,298,520609916
283865,388,663605039
281727,1018,1728576228
283884,646,766725440
283934,320,518434207
281727,1481,2465832801
281727,396,628559044
284043,86,134234759
276525,1989,3433833261
278805,137,252085134
279588,808,1389752785
280385,1355,2541902922
278820,847,1556508398
282037,550,998455123
278969,266,375770888
273725,913,1372577472
276384,817,1173515836
279116,49,75644236
278969,120,107638249
