#run,lumi,evt
274161,295,512012644
274284,121,247846054
274315,299,637278920
275310,40,75087259
274999,954,1709592176
274968,889,1689314796
274968,968,1832296638
275074,356,570310022
275001,1806,2393601630
275376,325,568174219
275345,241,491363660
275376,413,715562016
275375,537,898101576
274422,1354,2317685760
274388,624,1146236896
274241,600,1008693272
273730,1906,2140121612
273402,240,221288647
274442,90,167298064
274388,893,1625857569
274316,78,149442388
276242,311,585011240
276282,1065,1907682305
276242,1268,2386200141
276242,554,1050578736
275847,265,356003108
276283,107,206048407
276384,803,1161696233
276582,216,387779380
276808,424,804602291
276363,683,1218016642
276810,153,279302877
276502,19,25222518
276808,3,5933492
276831,2613,4645525971
277096,819,1470454498
277070,643,1204030654
276870,953,1670687527
277087,387,359794922
277194,1694,3018347888
277087,468,462843064
277072,284,488774933
278349,581,1079175910
278406,1383,2442509259
278406,1396,2463048498
278406,1153,2021595273
278803,73,131313912
278018,1057,1966662275
279667,148,153124975
280188,30,50853133
279794,540,869672863
279841,690,1146740501
280191,692,1285829152
279588,837,1444174689
279667,1028,1795804825
279694,1131,2096441602
279766,766,1415839976
279767,357,616661953
279766,670,1245891750
280249,415,774647154
278975,124,211723386
279931,280,375456562
279931,356,520129921
281797,898,1415833702
281976,672,1183807352
282033,94,36856308
282037,1511,2605776229
282735,638,1266791029
282735,109,218450683
282814,1451,2706436787
282923,3,5240707
281693,1205,2284056157
283043,13,21455359
283270,1054,1740969772
283308,121,224002735
283408,1848,3194109796
283453,379,550335583
283478,262,341574761
283478,904,1421177562
283820,1065,1881487315
283865,388,663605039
283934,323,523015192
281727,396,628559044
284006,359,516916384
276525,1989,3433833261
278805,137,252085134
280385,1355,2541902922
278820,847,1556508398
276525,2113,3646621530
279116,49,75644236
