#run,lumi,evt
275310,1847,2836553962
273450,612,832386009
274968,439,798335764
275376,49,88247561
275375,665,1137639005
275370,268,369567994
275125,605,1108245376
274241,96,175826277
274200,524,844639748
275913,213,423553965
276808,104,210862483
276653,224,306834298
276586,187,329813543
276581,148,170254267
276776,721,1242242992
276655,631,1123631081
277305,109,85187879
276831,1761,3192220381
276870,310,463059845
277148,355,521954072
277148,479,764039086
277148,553,909592019
276831,1285,2327369151
277148,231,300942964
276831,1691,3058890649
276935,158,161886979
277073,79,127674957
278509,607,935993771
278315,362,551489432
278366,413,823349947
278018,6,11089785
278167,114,68733856
278239,685,1199610984
278167,920,1667384089
278770,354,687843286
279694,1804,3252122563
280188,49,84977927
278962,141,146892381
280330,73,139475883
280249,700,1308508576
280385,748,1401330783
278820,874,1605818010
278969,472,743625181
281976,659,1160991056
282037,836,1492926926
282734,44,94310601
282807,30,53334942
282842,8,15389778
283283,1563,2720309179
283308,105,190304395
283865,556,966866985
283877,56,94273245
283934,817,1387745526
283946,1173,1946028694
284035,233,392700125
275344,189,241290974
274241,522,883261954
275345,17,35713863
274969,401,735972988
275001,189,286346047
275125,888,1607481611
274244,218,298980354
274315,239,513262209
274442,110,202447887
274387,377,653862091
274441,409,688729251
274422,102,175773614
273730,2118,2446209398
275376,330,577974879
275834,270,506735555
276282,736,1289808168
275890,43,84735582
276242,105,200512074
276242,1215,2293922155
276242,184,349281663
276242,1507,2828758156
276454,30,45132083
276527,8,10211541
276525,672,1080158718
276384,374,565130544
276582,674,1212653064
276318,61,106256068
276811,2027,3312363119
276315,62,60221787
276655,975,1701236411
276808,447,844257233
277420,252,336322790
277168,766,1432289702
277148,696,1176607605
276950,770,1417879179
277096,1489,2588304972
276950,441,842528432
277305,690,1153595718
277096,908,1628612394
277094,34,52669551
277305,119,102401208
277096,1594,2772405428
278308,248,355008378
278509,159,146320397
278406,443,678020316
278308,521,895945147
278801,78,73228824
278289,33,55443740
278808,1572,2785734019
278820,1141,2109690227
278820,388,693173527
278822,592,1038941678
279716,969,1750254337
279658,126,191904520
279766,737,1364784810
280249,367,688121940
279931,2038,3473236407
278875,218,407713203
279823,99,71359176
279794,963,1653715136
278969,1019,1739830988
279685,194,363842796
278820,829,1522787241
279931,813,1364725714
279931,821,1381327501
279931,659,1079752023
279931,508,790625810
280017,339,605028609
280385,826,1552516875
279116,127,211415500
279841,368,577458761
279931,339,489105886
279975,691,1141005547
278923,456,763492933
279071,192,218626107
280364,830,1491811474
281693,1149,2184641825
282733,5,7993578
282800,136,238479114
282814,1752,3251449032
283270,728,1158817614
283283,1361,2424910542
283359,321,469507287
283408,1956,3355497532
283876,110,101451198
284035,197,331267851
284035,297,501711007
281797,300,317631994
281797,1367,2300718695
281797,1535,2607662264
281976,1053,1854092215
274241,525,888942084
274422,489,852230017
274094,247,212004381
274338,443,789488138
274388,1390,2496782138
273448,137,199089933
274422,247,425414474
274241,683,1140634287
274200,348,567102299
273725,2000,2867611383
274241,790,1304352245
274339,13,19519065
275310,1255,2057238214
275376,1493,2319970771
275125,807,1451874063
275068,709,1310756279
