#run,lumi,evt
275310,1847,2836553962
274968,565,1060214826
274241,96,175826277
275913,213,423553965
276808,104,210862483
276586,187,329813543
276831,1761,3192220381
276870,310,463059845
277148,479,764039086
277148,553,909592019
277148,231,300942964
276831,1691,3058890649
276935,158,161886979
278509,607,935993771
278315,362,551489432
278366,413,823349947
278167,114,68733856
278770,354,687843286
279694,1804,3252122563
280188,49,84977927
278962,141,146892381
279841,909,1537184737
280249,700,1308508576
279694,302,548136049
279760,420,653055883
282734,44,94310601
282842,8,15389778
283877,56,94273245
283934,817,1387745526
275344,189,241290974
275345,17,35713863
274969,401,735972988
275001,189,286346047
275125,888,1607481611
275338,220,370322283
274315,239,513262209
274442,110,202447887
273730,2118,2446209398
275376,330,577974879
276282,736,1289808168
276242,105,200512074
276242,1215,2293922155
276454,30,45132083
276527,8,10211541
276384,374,565130544
276318,61,106256068
276808,447,844257233
276870,840,1470767709
276950,770,1417879179
277096,1489,2588304972
276950,441,842528432
277305,690,1153595718
277096,723,1292558116
277070,167,305360058
277305,119,102401208
277096,1594,2772405428
278308,248,355008378
278018,250,454931730
278345,499,834225867
278509,159,146320397
278308,521,895945147
278801,78,73228824
278345,314,468556837
278808,1572,2785734019
279716,969,1750254337
279931,2038,3473236407
279823,99,71359176
278969,1019,1739830988
279685,194,363842796
279931,813,1364725714
279931,1290,2253356547
279931,659,1079752023
279931,508,790625810
279975,84,51118422
279116,127,211415500
281693,1149,2184641825
282733,5,7993578
282800,136,238479114
282814,1752,3251449032
282814,153,292868940
283270,728,1158817614
283283,1361,2424910542
283307,386,730351573
283408,1956,3355497532
283876,110,101451198
284035,197,331267851
284035,297,501711007
281797,1535,2607662264
273425,508,630578720
274094,247,212004381
273448,137,199089933
274422,247,425414474
274241,683,1140634287
274388,1670,2949776390
273725,2000,2867611383
274241,790,1304352245
274339,13,19519065
275310,1255,2057238214
275376,1493,2319970771
275125,807,1451874063
274971,872,1264890967
274968,626,1179287876
275376,1396,2190756314
275376,772,1288793200
275067,252,459841443
275001,341,506266266
274251,121,190605815
274999,282,498546937
275074,441,700771499
275001,768,1097271662
275001,948,1331800876
274968,1059,1982912524
275376,2312,3343855246
275066,93,180894519
275376,2376,3420449891
275291,331,572535026
274999,1191,2103139456
275311,522,652071116
275068,844,1536939974
275370,194,237865439
275370,236,313817012
275345,195,402635690
274422,602,1060385812
274387,206,289941785
273725,1061,1574751576
274338,312,562009832
276097,373,719937531
276283,988,1804697474
275913,364,707113369
275890,173,341242802
275777,141,278894053
275836,690,1255298071
275833,179,341331349
275832,274,539997916
275833,32,61666699
276242,1611,3032122007
275782,235,440186287
275774,302,566375730
275778,184,327180931
275837,664,1031574197
276243,151,272612944
276244,683,1030152169
276097,90,161790821
276242,1004,1925909208
276655,923,1603102337
276794,725,951052333
276501,617,996248103
276775,1061,1847649443
276808,148,295256709
276808,341,656388466
276437,1994,3527548475
276501,1109,1856800882
276525,2025,3496697929
276528,58,72419464
276586,187,330505147
276525,1217,2086488728
276437,888,1580027334
276495,99,67013828
276501,2473,4124473651
276437,1136,2068516939
276543,519,972957760
276811,354,629966141
276525,482,744590716
276363,1158,2071144966
276384,832,1193019651
276525,974,1658623858
276525,978,1667062455
276655,243,463322382
276808,104,210780508
276808,509,951735168
276525,2123,3663106370
276525,1454,2472640104
276950,217,410481297
277168,1390,2552025063
277194,1156,2030638168
277070,1042,1965827426
276935,562,869516416
277194,249,334250372
277096,674,1200416880
277094,222,382739655
277127,79,150338091
276870,2583,4648630683
276870,2243,4067564322
276870,2775,4952993105
277194,606,989546919
277166,430,689255011
276950,2205,3791832965
277168,1177,2169209792
277166,257,349706448
278239,249,358068911
278240,495,986189875
278406,418,633320961
278167,911,1650684496
278803,131,228397010
278366,46,94938965
278310,92,128216527
278509,1036,1710853218
278167,1756,3177651333
278349,477,856040320
278167,797,1438220174
278308,324,498747649
278167,99,47112332
278240,662,1289232723
278315,331,495180269
278310,667,884172068
278770,210,412992771
278018,1158,2155657043
280024,179,256791254
280018,1032,1778574579
278875,463,824849764
280018,332,565010245
280191,17,32299311
278957,131,134487415
279658,72,111645631
279654,1060,2023040013
279767,120,211973811
278969,446,694625553
280015,59,102375352
280249,1100,1968913476
278975,507,800529175
278975,262,433115354
279823,148,166027868
279794,376,568310857
279931,2478,4269662651
279841,220,306433116
279823,200,261620500
279841,910,1538530941
280330,749,1431700104
280330,15,29232413
279667,575,932309391
279823,293,424054599
279823,212,281622599
279115,365,550412899
279694,682,1251628868
281641,191,323950186
281693,2054,3731940224
282800,156,278986599
282814,528,1030530787
282922,67,121763865
283270,655,1018480224
283270,769,1235036659
281693,2071,3763623746
283359,122,185112442
283408,461,758138341
283408,1176,2016106544
283408,882,1480974520
283453,312,440769816
283453,471,692919272
283453,366,528603737
283478,518,755099665
283682,141,257252326
283685,302,288892648
283820,87,129617865
283820,521,916306195
283865,747,1310280793
281727,802,1345492161
281727,1174,1987056340
283877,236,431309302
283885,195,347987886
283885,98,177994256
283934,257,411540508
283934,432,710434273
283946,419,565974034
283946,1086,1780512593
281727,244,400578806
281797,735,1107120391
281797,531,728250285
284036,188,325210367
284042,115,185432875
276282,548,933637287
277070,581,1090015527
279694,1459,2697883713
281707,961,1571197568
283884,541,594864205
275345,335,673461805
276242,881,1692668822
276363,625,1115049101
279716,999,1798691563
283478,191,219809300
283877,1041,1887493221
