#run,lumi,evt
275068,559,1055164720
275068,674,1252459147
274421,32,62462553
275311,98,126331096
275067,40,75016827
274241,640,1072086793
275311,565,702660844
274244,55,59865041
274968,1035,1941703559
274969,764,1376989233
274240,67,116807646
275310,389,703882288
274335,498,943794324
273425,210,234956941
275073,350,629825896
274999,588,1085832117
275284,12,24258018
275291,3,3438879
273425,165,174505065
275309,101,120241799
275375,174,192393933
275074,292,469781604
275074,468,738118954
274968,375,661209038
274442,704,1211391551
274388,562,1041614097
275375,430,689040225
275376,1901,2835671610
274968,147,250685249
274422,755,1320297548
274968,30,46210598
274161,296,514715633
274200,581,926144706
275001,1481,2010890022
273554,258,321452260
275836,216,419996565
276097,70,126989677
276242,257,486011205
276282,742,1301733238
275847,205,277030533
276283,692,1252562683
275774,192,342568988
275833,94,181434173
275911,131,141931426
275776,95,196900544
276242,803,1541066358
275890,862,1668041178
276363,116,213785915
276776,603,1025593231
276794,456,604071322
276811,307,537956227
276775,1198,2101639957
276315,180,280008869
276501,894,1460502730
276811,154,257163792
276318,297,510326099
276437,1987,3513660179
276454,360,570972085
276454,385,609415811
276808,376,720659469
276525,1379,2352800265
276525,1960,3384294524
276437,65,26817753
276363,1018,1826129137
276363,582,1031903265
276501,510,820254179
276501,2371,3965781646
276525,1174,2012065620
276542,150,185969843
276543,44,78447902
276437,454,757163965
276811,1644,2781397187
276587,924,1304189617
276582,391,681122346
276543,244,470189903
276501,1153,1935084876
276542,435,702175698
276525,316,456703602
276544,90,166118308
276543,358,683454966
276811,1245,2193223748
276776,1748,2875150262
276318,429,742576265
276811,331,584041621
276655,983,1715236216
276655,124,240913939
276776,1346,2276328500
276811,404,726310209
276808,128,258115055
276831,294,475359712
277194,1209,2119299210
276935,149,147489515
277148,517,839449230
277180,97,48951497
277168,1808,3234574898
277305,150,159249872
277194,539,870674554
277073,69,108247924
277148,265,362799946
277168,690,1298374157
276870,329,500485226
276831,1107,2011289325
276831,1923,3493060612
277168,1905,3381404441
277194,1754,3115367219
276950,1146,2093381998
276870,1384,2511631666
276870,1553,2819842189
277127,631,1194718597
276870,2857,5081530240
276950,652,1217655025
277096,136,257357088
276950,2258,3866330268
277070,112,201727189
277070,217,396501317
277076,113,186751569
276870,1377,2499678331
278349,382,697779416
278366,186,381064303
278803,190,335267136
278803,13,21944416
278803,105,178033801
278308,368,589637205
278406,457,703607504
278406,1356,2395614405
278017,580,898753374
278308,988,1689105860
278167,2001,3577302579
278167,941,1706128094
278808,1451,2557281125
278308,1077,1842939224
278803,195,344408038
278770,379,732119474
278770,602,1157813885
278770,564,1086286740
278820,37,57019625
280330,444,837171166
280251,370,656924162
280330,36,68951390
279760,328,483908125
280364,742,1346767059
280384,14,18863011
278822,948,1652552105
279716,1063,1896918957
279654,56,109930973
278969,117,102876002
278975,504,795564295
280349,255,485911864
279667,777,1317533094
279841,187,247163075
279931,1719,2961426423
279931,1457,2545376363
279654,720,1370724680
278874,262,511023738
278969,500,793589483
279667,928,1612779550
279767,770,1266384957
279654,494,930584513
279588,485,771655171
279766,610,1137720150
278975,169,285962371
279931,1810,3097065103
279931,2735,4685209788
279767,734,1213653295
279931,2443,4211321157
279588,1159,2055154631
279766,291,548994450
279767,321,555982142
280017,82,151186869
280017,285,513798583
279841,1283,2230137961
279029,130,211615744
278962,308,455575293
280015,137,250014233
278963,137,245439712
279841,1763,3076552524
279975,942,1610183799
278822,1489,2484254633
279694,408,746076168
280018,861,1492269576
279841,1256,2176047471
280018,485,843004675
279975,639,1050091761
279975,831,1402254402
279115,522,813276193
279931,121,103094348
279116,177,301711397
280015,474,886521303
279931,592,954061193
280191,95,177691096
279841,487,789593684
280242,615,1127475729
280249,129,245208307
280363,348,590899038
278822,1116,1919352677
279760,417,646334666
279694,177,318000741
278820,239,426276771
278820,1059,1955058750
279694,1276,2375694740
279691,99,63924282
282037,1622,2830060835
282037,281,526706306
282731,149,283400064
282734,272,542396084
282735,637,1264431346
282807,204,402763076
282814,1130,2049904107
282814,523,1019934660
281693,361,682537220
281693,1716,3084215967
282919,1,1107829
282923,185,367122011
283043,146,262814177
283049,91,57331574
283052,14,22979736
283270,1911,3244474953
283270,1049,1731695498
283306,136,249201888
283307,125,230185917
283307,445,849982912
281707,336,410522558
281707,605,906585679
283353,539,835212206
283353,97,69005995
283408,744,1253052218
283408,885,1486501995
283408,599,990901748
283408,1707,2970151589
283478,465,664507647
283478,524,765989418
283680,35,50046745
283680,78,123268149
283682,255,472003080
283820,1399,2465421676
281727,1213,2050116837
281727,813,1366012141
283865,180,313351051
283865,398,680869945
283865,952,1689275024
283876,541,836103750
283877,651,1230026374
283877,261,479814255
283884,734,923593593
283884,500,536697081
283885,216,384083882
283885,1692,2954912008
283885,887,1621271923
283885,558,1022661490
283934,978,1695510074
283934,1090,1897137522
283934,426,698791110
283934,186,307907787
281727,202,334579337
284035,98,157693921
284035,116,190814732
281797,1522,2585557437
281797,546,754850625
281797,1161,1909999088
281976,567,1000675003
281976,140,251943735
281976,386,681953760
284036,226,396879377
284036,136,235799032
284037,205,382883044
276384,571,845958603
276653,282,410503366
283865,534,926257229
274388,1792,3143798715
275125,574,1054469602
276283,924,1681369423
276776,511,856248606
276437,1221,2227876390
276542,809,1367537428
276935,625,978689272
276935,688,1097481744
276870,1014,1776606886
283052,85,140198594
283270,1558,2673343452
283358,85,148108056
