#run,lumi,evt
274422,1739,2917515592
275376,685,1153388564
275376,1881,2811039954
274250,612,1181123914
274970,34,67525210
274442,7,11502597
274344,52,73052667
274335,67,67074121
276282,210,292351561
275847,2151,2573612145
276282,809,1424492475
275890,1156,2190755104
276283,554,1033125580
276542,588,987507944
276655,654,1161863314
276502,504,759720511
276363,1327,2338434137
276834,173,249008513
278349,536,984984150
278406,800,1359708490
278509,1451,2453510338
278509,872,1421624580
280024,253,360784971
280364,1008,1779113700
279654,613,1166598525
279794,1026,1773660800
279760,433,677435209
280018,745,1292476406
279975,252,344468491
280330,221,416533726
279694,2214,3995027221
279794,241,325972278
281797,1720,2916149572
281976,245,427918880
282037,1732,3042404601
282092,1393,2297159671
283283,260,539950871
283408,982,1661828372
283478,946,1494760657
283877,137,249757834
283934,291,468000459
284006,368,533217326
284036,28,49893899
275310,383,693957090
275001,410,605768208
274315,36,76478780
273502,316,353139236
274440,407,613403042
274344,532,820990721
275376,2337,3373504328
274422,664,1160453054
273730,1270,1304884994
275376,1158,1859651621
275890,318,612753841
275837,546,856788860
275913,412,795980629
276283,685,1245388987
275836,1155,2080388751
276776,743,1279943382
276794,186,249576069
276501,1539,2580593845
276454,500,782283930
276384,883,1260747954
276363,394,692735720
276525,2855,4795099248
276811,1001,1798328655
276437,909,1621039363
276587,51,77392441
276437,920,1644425191
276501,1196,2011322588
277194,916,1587940463
277194,1638,2918482755
276834,262,372686400
277305,693,1159352945
276950,1803,3209955538
277148,505,816786352
278345,177,213517976
278310,696,918813656
278308,249,356940857
278239,182,232720721
278406,1357,2397102244
278805,17,28566123
280385,510,947375279
280364,1238,2120122022
279931,1353,2365406318
279588,466,730968036
279841,545,890523132
278975,227,377641780
279654,1083,2067141857
279931,2096,3584452270
279794,771,1295215576
278969,71,24693238
279794,147,152465675
279844,214,260759050
279116,189,324510783
278820,698,1276360547
280018,942,1629460524
280015,577,1071622490
280249,232,441283464
278820,412,735122949
279716,567,1066331089
282037,173,328621184
282037,1524,2632762769
282807,275,540024261
282814,1171,2136344002
282814,991,1832390840
281693,1972,3587377843
282919,141,266935169
283270,1852,3155971678
283270,1762,3014727543
281707,778,1222324278
283358,331,607443847
283408,1289,2217217561
281707,504,714487283
284006,383,557832244
284035,300,508663945
281797,1579,2685100401
281976,1385,2461076082
284038,54,99870196
274388,460,863887625
275311,128,164909346
274422,602,1059864054
276655,994,1735792578
276870,899,1575730918
277168,101,180395706
278822,1491,2486848670
