#run,lumi,evt
274968,760,1446448339
274422,1739,2917515592
275338,345,603399901
275376,685,1153388564
274968,694,1315696395
274250,612,1181123914
274970,34,67525210
274442,7,11502597
274344,52,73052667
274335,67,67074121
275847,2151,2573612145
276244,136,210660710
276242,386,719790391
275890,1156,2190755104
276283,554,1033125580
276811,1187,2100632345
276655,654,1161863314
276501,1538,2577988503
276363,1327,2338434137
276834,173,249008513
276831,607,1053723057
277168,251,444697889
278018,882,1636166961
278349,536,984984150
278406,800,1359708490
278509,1451,2453510338
278509,872,1421624580
280024,253,360784971
280364,1008,1779113700
280191,60,113729524
279654,613,1166598525
279794,1026,1773660800
279760,433,677435209
280018,745,1292476406
279975,252,344468491
280330,221,416533726
279694,2214,3995027221
279794,241,325972278
281797,697,1040369813
281797,1720,2916149572
281797,1300,2172923726
281976,245,427918880
282092,1393,2297159671
281693,1894,3436641612
283283,260,539950871
283308,219,425546747
283408,982,1661828372
283478,946,1494760657
283877,137,249757834
283885,1698,2964788182
283934,291,468000459
283934,448,740418587
284006,368,533217326
274968,584,1096922020
274316,372,676825669
275310,383,693957090
274999,979,1752738664
275001,520,760078382
275291,143,246057602
274315,36,76478780
274344,532,820990721
275375,1311,2261442322
275376,2337,3373504328
274422,664,1160453054
273730,1270,1304884994
275376,1158,1859651621
274388,1006,1836413449
275337,277,530758294
276242,1176,2228155128
275890,318,612753841
275837,546,856788860
275658,221,435491690
275913,412,795980629
276283,685,1245388987
276776,743,1279943382
276794,186,249576069
276776,1691,2794403772
276501,1539,2580593845
276454,500,782283930
276384,883,1260747954
276363,394,692735720
276525,810,1352124173
276384,645,948307370
276582,858,1543709009
276437,909,1621039363
276587,51,77392441
276437,920,1644425191
276501,1196,2011322588
276501,137,227761848
277194,1638,2918482755
276834,262,372686400
277305,693,1159352945
277127,216,409344810
276950,1803,3209955538
276834,396,554523015
277148,505,816786352
278175,44,60571580
278310,696,918813656
278308,249,356940857
278239,182,232720721
278406,1459,2569819751
278406,1357,2397102244
278805,115,208993892
278240,1303,2454420025
278805,17,28566123
280385,510,947375279
280364,1238,2120122022
279931,1353,2365406318
279588,466,730968036
279841,545,890523132
279654,1083,2067141857
279931,2096,3584452270
279966,239,314572863
279823,319,470124769
279794,771,1295215576
279794,435,680022978
278969,71,24693238
279794,147,152465675
279844,214,260759050
279029,126,205609374
279116,189,324510783
280018,942,1629460524
280015,577,1071622490
280249,232,441283464
278820,412,735122949
279716,567,1066331089
282037,173,328621184
282037,1524,2632762769
282037,767,1384974142
282092,1083,1741228344
282735,1198,2201789236
282807,275,540024261
282814,1171,2136344002
282814,991,1832390840
281693,1972,3587377843
282919,141,266935169
283270,1762,3014727543
283307,378,712192153
281707,778,1222324278
283358,435,803166176
283358,331,607443847
283358,745,1366399799
283408,1289,2217217561
283408,1377,2387813556
281707,504,714487283
283885,70,125267247
281797,1579,2685100401
281976,1385,2461076082
275311,128,164909346
274422,602,1059864054
276655,994,1735792578
276870,899,1575730918
277168,101,180395706
278822,1491,2486848670
